,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,manicore,-5.8092,-61.3003,83.59,88,52,3.76,BR,1612296202
76,tura,25.5198,90.2201,57.33,54,0,2.8,IN,1612296203
77,khao yoi,13.2403,99.8243,73.0,98,23,2.62,TH,1612296204
78,dayong,25.0209,118.2898,59.0,41,75,13.42,CN,1612296205
79,kapaa,22.0752,-159.319,72.0,100,75,5.75,US,1612296131
80,komsomolskoye,55.2567,47.5461,10.04,94,100,3.71,RU,1612296207
81,avera,33.194,-82.5271,51.8,43,75,18.41,US,1612296208
82,east london,-33.0153,27.9116,71.47,76,95,19.64,ZA,1612296209
83,new norfolk,-42.7826,147.0587,57.0,70,99,1.57,AU,1612296211
84,kinkala,-4.3614,14.7644,80.6,78,20,2.3,CG,1612296212
85,mataura,-46.1927,168.8643,61.11,76,100,1.45,NZ,1612296213
86,hilo,19.7297,-155.09,75.2,60,1,4.61,US,1612295919
87,rock sound,24.9,-76.2,63.99,71,0,32.95,BS,1612296215
88,tooele,40.5308,-112.2983,57.2,65,1,5.75,US,1612296211
89,ponta do sol,32.6667,-17.1,61.0,68,71,3.0,PT,1612296217
90,lasa,46.6166,10.7002,35.01,86,0,3.62,IT,1612296218
91,dudinka,69.4058,86.1778,-4.2,92,100,9.24,RU,1612296221
92,merauke,-8.4667,140.3333,77.45,89,99,12.8,ID,1612296070
93,kodiak,57.79,-152.4072,30.2,86,90,15.59,US,1612296223
94,pangai,-19.8,-174.35,82.4,83,75,10.36,TO,1612296224
95,luanda,-8.8368,13.2343,80.6,74,20,5.75,AO,1612296181
96,kailua,21.4022,-157.7394,73.4,78,20,4.61,US,1612296226
97,marsh harbour,26.5412,-77.0636,58.15,70,30,30.56,BS,1612296227
98,maba,24.6841,113.5984,61.57,66,87,2.71,CN,1612296229
99,cherskiy,68.75,161.3,-3.23,84,0,0.98,RU,1612296231
100,mehriz,31.5917,54.4318,44.6,26,0,2.3,IR,1612296142
101,forio,40.7342,13.8646,54.0,82,0,8.25,IT,1612296233
102,hasaki,35.7333,140.8333,26.6,86,20,2.3,JP,1612296234
103,dikson,73.5069,80.5464,-22.09,82,0,12.59,RU,1612296236
104,smithers,54.7804,-127.1743,26.6,86,90,2.3,CA,1612296005
105,cedar lake,41.3648,-87.4411,32.0,59,90,10.36,US,1612296238
106,carnarvon,-24.8667,113.6333,73.4,100,97,24.16,AU,1612296240
107,albany,42.6001,-73.9662,30.0,88,100,1.99,US,1612296015
108,tucuman,-26.8241,-65.2226,68.0,94,90,6.91,AR,1612295987
109,komsomolskiy,40.4272,71.7189,37.4,65,33,4.61,UZ,1612296244
110,umm lajj,25.0213,37.2685,74.62,76,0,4.12,SA,1612296014
111,esperance,-33.8667,121.9,69.8,40,75,16.11,AU,1612296246
112,jamestown,42.097,-79.2353,24.01,86,90,14.97,US,1612296063
113,bismil,37.8486,40.6658,39.2,100,0,4.61,TR,1612296192
114,yar-sale,66.8333,70.8333,5.04,94,99,7.23,RU,1612296250
115,amga,60.8953,131.9608,-38.9,79,100,4.41,RU,1612296251
116,gorele,41.0308,39.0031,53.6,66,0,2.3,TR,1612296252
117,cap malheureux,-19.9842,57.6142,78.01,83,13,3.0,MU,1612296253
118,kahului,20.8947,-156.47,77.0,61,20,2.15,US,1612296254
119,northam,51.0333,-4.2167,48.99,91,97,15.01,GB,1612296255
120,caravelas,-17.7125,-39.2481,81.09,71,98,9.42,BR,1612296257
121,sambava,-14.2667,50.1667,79.66,79,67,12.46,MG,1612296259
122,aykhal,66.0,111.5,-30.77,82,100,10.25,RU,1612296260
123,ambam,2.3833,11.2833,71.98,93,100,2.89,CM,1612296261
124,thompson,55.7435,-97.8558,15.8,92,90,4.61,CA,1612296240
125,pierre,44.3683,-100.351,30.2,86,90,5.75,US,1612296263
126,bangolo,7.0069,-7.475,85.03,42,81,3.51,CI,1612296264
127,manoel urbano,-8.8389,-69.2597,89.02,57,25,2.95,BR,1612296265
128,bukachacha,52.9833,116.9167,-27.15,78,0,3.38,RU,1612296266
129,yulara,-25.2406,130.9889,77.0,33,25,6.91,AU,1612296072
130,auki,-8.7676,160.7034,78.12,86,87,6.71,SB,1612296269
131,georgetown,5.4112,100.3354,80.6,89,20,4.61,MY,1612296016
132,rawson,-43.3002,-65.1023,80.4,26,0,12.12,AR,1612296163
133,taoudenni,22.6783,-3.9836,74.97,19,100,10.96,ML,1612296272
134,bud,39.447,-86.1758,30.99,76,98,14.07,US,1612296273
135,padang,-0.9492,100.3543,75.2,100,40,2.3,ID,1612296274
136,maragogi,-9.0122,-35.2225,80.76,72,6,12.15,BR,1612296275
137,katsuura,35.1333,140.3,42.8,45,0,5.75,JP,1612295926
138,vardo,70.3705,31.1107,24.8,93,90,24.16,NO,1612295823
139,hithadhoo,-0.6,73.0833,82.06,73,44,4.65,MV,1612296282
140,praia da vitoria,38.7333,-27.0667,53.6,66,20,27.58,PT,1612296284
141,raga,8.4596,25.678,79.65,30,17,4.03,SS,1612296285
142,haines junction,60.7522,-137.5108,-20.2,76,96,1.5,CA,1612296286
143,castro,-24.7911,-50.0119,76.71,79,9,1.63,BR,1612296287
144,gunjur,13.2019,-16.7339,80.6,41,0,6.91,GM,1612296289
145,tautira,-17.7333,-149.15,86.0,66,20,5.75,PF,1612296290
146,beringovskiy,63.05,179.3167,8.35,95,100,7.07,RU,1612296291
147,bantogon,6.5333,124.0333,76.77,78,100,5.01,PH,1612296292
148,dongkan,33.9997,119.8308,32.63,93,0,7.72,CN,1612296293
149,kruisfontein,-34.0033,24.7314,69.01,81,0,1.01,ZA,1612296294
150,avarua,-21.2078,-159.775,84.2,74,40,9.22,CK,1612296085
151,port blair,11.6667,92.75,76.46,78,0,11.34,IN,1612296296
152,alekseyevsk,57.8406,108.3492,-32.04,81,38,4.5,RU,1612296297
153,torbat-e jam,35.244,60.6225,42.31,66,6,1.14,IR,1612296299
154,velykoploske,47.0125,29.6717,33.8,100,90,5.75,UA,1612296300
155,bolbec,49.5732,0.4734,53.6,76,0,14.97,FR,1612296301
156,waipawa,-41.4122,175.5153,64.0,77,1,9.22,NZ,1612296303
157,mandalgovi,45.7625,106.2708,0.5,80,0,9.13,MN,1612296304
158,sitka,57.0531,-135.33,35.6,64,20,4.61,US,1612296305
159,dakar,14.6937,-17.4441,69.8,78,0,9.22,SN,1612296231
160,scottsbluff,41.8666,-103.6672,64.4,17,1,23.02,US,1612296308
161,crown point,41.417,-87.3653,32.0,59,90,10.36,US,1612296247
162,champerico,14.3,-91.9167,93.2,43,20,6.91,GT,1612296310
163,usolye-sibirskoye,52.7519,103.6453,-6.95,90,100,3.31,RU,1612296311
164,hobart,-42.8794,147.3294,57.0,76,75,5.75,AU,1612296078
165,sabinas hidalgo,26.5,-100.1667,70.32,30,5,8.86,MX,1612296313
166,karratha,-20.7377,116.8463,80.83,84,99,18.23,AU,1612296314
167,constitucion,-35.3333,-72.4167,66.69,65,14,5.84,CL,1612296317
168,tibiri,13.5627,7.0485,76.73,16,5,9.86,NE,1612296318
169,airai,-8.9266,125.4092,61.83,100,100,2.3,TL,1612296319
170,nishihara,26.1842,127.7558,60.8,54,20,8.05,JP,1612296320
171,sao jose da coroa grande,-8.8978,-35.1478,80.64,71,3,11.07,BR,1612296321
172,vostok,46.4856,135.8833,-27.94,86,100,6.29,RU,1612296322
173,yelizovo,53.1873,158.3805,15.8,79,90,11.18,RU,1612296323
174,chuy,-33.6971,-53.4616,80.56,66,92,6.42,UY,1612296324
175,half moon bay,37.4636,-122.4286,59.0,88,75,8.05,US,1612296127
176,souillac,-20.5167,57.5167,80.6,78,40,11.5,MU,1612296327
177,sao joao da barra,-21.6403,-41.0511,84.2,54,0,20.71,BR,1612296106
178,tayshet,55.9342,98.0044,0.5,91,100,2.3,RU,1612296329
179,vestmanna,62.1564,-7.1664,37.4,70,20,14.97,FO,1612296330
180,sinnamary,5.3833,-52.95,79.05,84,73,15.79,GF,1612296331
181,vidim,56.4088,103.1106,-9.94,89,100,5.1,RU,1612296332
182,aksu,41.1231,80.2644,23.31,81,0,2.13,CN,1612296333
183,kuchaman,27.15,74.85,59.83,33,0,2.48,IN,1612296336
184,broken hill,-31.95,141.4333,57.2,47,0,6.91,AU,1612296337
185,aleksandrov gay,50.147,48.5704,35.31,94,100,10.11,RU,1612296338
186,hermanus,-34.4187,19.2345,66.0,86,0,7.07,ZA,1612296339
187,novikovo,51.1537,37.8879,28.26,98,100,5.28,RU,1612296341
188,tual,-5.6667,132.75,83.25,76,100,21.0,ID,1612296342
189,toora-khem,52.4675,96.11,-7.24,88,72,1.25,RU,1612296345
190,tabuk,17.4189,121.4443,68.0,89,100,5.86,PH,1612296302
191,chara,56.9064,118.2631,-30.86,67,5,2.44,RU,1612296347
192,pacific grove,36.6177,-121.9166,55.0,94,90,3.44,US,1612296348
193,najran,17.4924,44.1277,64.4,36,0,0.74,SA,1612296349
194,teguldet,57.3064,88.1667,11.57,95,100,8.14,RU,1612296350
195,nanortalik,60.1432,-45.2371,16.79,86,0,16.15,GL,1612296351
196,reforma,18.1,-91.0167,71.6,65,74,6.89,MX,1612296353
197,sola,-13.8833,167.55,81.48,80,100,23.76,VU,1612296354
198,coihaique,-45.5752,-72.0662,78.8,41,0,6.91,CL,1612296208
199,keuruu,62.2667,24.7,5.0,85,90,3.44,FI,1612296356
200,micheweni,-4.9667,39.8333,80.65,76,100,9.55,TZ,1612296357
201,chulym,55.0997,80.9572,7.25,95,100,9.17,RU,1612296358
202,rodez,44.5,2.5833,53.01,93,0,4.61,FR,1612296156
